namespace, kind, name, container-name, container-index, replicas, cpu-request, memory-request, cpu-limit, memory-limit, location-hint
fluentbit, DaemonSet, fluentbit-fluent-bit, fluent-bit, 0, 1, 15m, 105M, 100G, 100T, fluentbit-values.yaml.template
goldilocks, Deployment, goldilocks-controller, goldilocks, 0, 1, 15m, 105M, 100G, 100T, goldilocks-values.yaml.template
goldilocks, Deployment, goldilocks-dashboard, goldilocks, 0, 1, 15m, 105M, 100G, 100T, goldilocks-values.yaml.template
goldilocks, Deployment, goldilocks-vpa-recommender, vpa, 0, 1, 15m, 105M, 100G, 100T, goldilocks-deploy.sh
